,names,gender
7700,pankaj  kumar,male
10693,smt sonu sharma,female
11590,sabina bano,female
35,parveen aggarwal,male
129,mohd rafiq,male
12037,janki kumari,female
6261,satbar,male
3374,javed abbas,male
7553,farukh,male
14517,meena devi & akash,female
336,nila madhava hagglund,male
9512,kiran kaur,female
11167,koshalya,female
4357,girjesh kumar,male
6809,suryanath pal,male
4739,aoosaf,male
11138,smt neeraj devi,female
4407,nitin gupta,male
4002,sarita,male
14193,rukhar,female
6189,suresh durg,male
473,nisha ,male
9963,sajni,female
14714,kushagra,female
14659,smt kamla deve,female
11896,priya mishra,female
2295,jai prakash singh,male
9350,akthari khatoon,female
3911,harishen ,male
6072,sardar santbir singh,male
10854,shiv devi,female
13058,smts. guddiya,female
6974,jatin kashyap,male
1446,daler singh,male
5627,madan lal,male
4034,avdesh sharma,male
549,shiv kumar ,male
6106,shagufta,male
2991,harish chand,male
8526,smt. madhu,female
8189,aaditya yadav,male
11853,nicharon mosami,female
5510,salmam,male
5301,bachu kak,male
13393,revti,female
13735,bhim maya,female
4359,gulab,male
2929,atul kumar,male
6877,kuldeep ,male
5613,chander shekar,male
3121,prsant,male
3460,viraj rana,male
5081,sumit,male
13142,smt. kanchan,female
7827,madhan singh,male
2597,rahish,male
2166,suresh paswan ,male
13867,rima khan,female
9610,meeta jain,female
8015,arshad ali,male
11985,rukshan,female
1745,a. suresh,male
2918,suraj ,male
12181,smt. annpurna,female
1120,asha nand,male
3024,munder lal,male
8098,md. aakil,male
12290,fuli paagdiya,female
8457,vinit katariya,male
6460,aajad singh,male
7318,md shahnawaz,male
5027,davender,male
12606,sarita devi,female
6677,bhagvati parsad,male
6887,meharuddin,male
12991,hema aroan,female
3214,vishnu singh,male
14327,mamuni munda,female
14218,smt rajdulari,female
11068,subhdra kumar,female
14009,aliya ahmad,female
4015,mo. safik,male
14946,smt indu devi,female
11634,kamjeet,female
693,dharmender kumar,male
13727,smt. rajni devi,female
11045,juneb bano,female
10905,japneet kaur,female
10764,sharda ,female
14952,kumari mamata,female
5875,surendra kumar,male
9612,alahbasri,female
6597,manish kumar sharma,male
6352,atif,male
7276,jagdish kumar,male
10211,roshni khan,female
655,suraj pal,male
728,vinay ,male
13596,silpi,female
14521,mjudi,female
6099,birbal ram,male
306,bandu khan,male
9361,pallawi verma,female
14742,aanamika misra,female
9970,mili,female
9900,smt lakhihadar,female
9660,mansi bajaj,female
1599,bunda ram,male
13704,smt. jasoda,female
14015,jyoty,female
1451,jiyaul,male
338,nadeem kha,male
7637,munesh sharma,male
2780,noor mhoomad,male
4843,lal prasad narala,male
8827,aysha,female
8024,saurabh rana,male
9996,sivani,female
6606,beenu,male
4081,dhani ram,male
1245,utam singh,male
7930,yogesh kumar,male
13241,mohani,female
6948,mamata,male
14839,rubina jahan,female
9441,shikha soni,female
6183,dilbar,male
15219,ekta sharma,female
10509,siwani,female
6548,shahrukh khan,male
13473,anupama,female
15283,mamta bhandari,female
8251,moni,male
283,shadik,male
13889,sumitra,female
9504,prete,female
67,dharambir,male
